iter	Logloss
0	0.682400696
1	0.6678103442
2	0.6562116818
3	0.6451992906
4	0.6379699831
5	0.6305668531
6	0.6234246872
7	0.618411432
8	0.6144032181
9	0.6081711636
10	0.6051846003
11	0.596697633
12	0.5937253454
13	0.5909462035
14	0.5861726876
15	0.5841685447
16	0.5814450498
17	0.5789330326
18	0.572776023
19	0.5695903659
20	0.5667149439
21	0.5650141153
22	0.5631458472
23	0.5601229558
24	0.557734651
25	0.555634429
26	0.5540597545
27	0.5526173201
28	0.5502554589
29	0.5489715407
30	0.5450251246
31	0.5429530853
32	0.5406886789
33	0.5391330058
34	0.5364352953
35	0.5354483746
36	0.5345171329
37	0.5340400847
38	0.5331643916
39	0.5318069054
40	0.5295509632
41	0.5274923279
42	0.5254484346
43	0.5237909491
44	0.5224546553
45	0.521189542
46	0.5200399918
47	0.519352949
48	0.5186585356
49	0.5176850502
50	0.5165098593
51	0.5151224241
52	0.51373375
53	0.5116346659
54	0.511016641
55	0.510174988
56	0.5093933653
57	0.5083962907
58	0.5073029165
59	0.5062359804
60	0.5055743654
61	0.504660166
62	0.5033497762
63	0.5025714272
64	0.5015304705
65	0.5008410459
66	0.5001581974
67	0.4986088022
68	0.4981422029
69	0.496901647
70	0.4960082855
71	0.495422584
72	0.4949558525
73	0.4943545917
74	0.4937992141
75	0.4933088868
76	0.4922147608
77	0.4917252951
78	0.490719512
79	0.4896619219
80	0.4885828924
81	0.4879874767
82	0.4865164681
83	0.48542688
84	0.4845445899
85	0.4837969747
86	0.4826850481
87	0.4818003173
88	0.4807719061
89	0.4801648645
90	0.4793650637
91	0.4786014053
92	0.4779517224
93	0.4771969107
94	0.4762582153
95	0.4753673341
96	0.4741049445
97	0.4722513627
98	0.4711977986
99	0.4703839274
100	0.4692968618
101	0.4682231631
102	0.4673004044
103	0.4665313547
104	0.4653919968
105	0.4648423975
106	0.464226869
107	0.4631494623
108	0.4626819066
109	0.4621113517
110	0.4614457624
111	0.4603229315
112	0.4599236782
113	0.4596801333
114	0.458668562
115	0.4581553691
116	0.4570961692
117	0.455834293
118	0.4551627081
119	0.4546508677
120	0.4536538669
121	0.4528166878
122	0.4518557924
123	0.4515979786
124	0.4509182889
125	0.4499808144
126	0.4491156383
127	0.4486167259
128	0.4481788924
129	0.4477748504
130	0.447230891
131	0.4469057876
132	0.4461029883
133	0.4451612482
134	0.4442626461
135	0.4435856578
136	0.4426628879
137	0.4422603462
138	0.4417924595
139	0.4412840527
140	0.440522733
141	0.440112855
142	0.4390235992
143	0.4386770288
144	0.437995836
145	0.4372191568
146	0.4364312013
147	0.4362241815
148	0.435272483
149	0.4346025454
150	0.4341566048
151	0.4336849991
152	0.4327511042
153	0.4320718832
154	0.4315300166
155	0.4305798704
156	0.4301378451
157	0.429593242
158	0.4290655856
159	0.4281347008
160	0.4275916484
161	0.4269006361
162	0.4263322373
163	0.4254105901
164	0.4246185293
165	0.4242286818
166	0.4240263014
167	0.4236454598
168	0.422978896
169	0.4223464192
170	0.4215501604
171	0.4211610856
172	0.4205464341
173	0.4199826054
174	0.4191653532
175	0.418156732
176	0.4177628955
177	0.4173000553
178	0.4168492208
179	0.4162987001
180	0.4154915983
181	0.4150961255
182	0.4136041946
183	0.4129554002
184	0.4123551672
185	0.4120795563
186	0.411465383
187	0.4110525911
188	0.4107515337
189	0.410246791
190	0.4098292025
191	0.4088788243
