iter	Passed	Remaining
428	1720	2289
429	1723	2284
430	1727	2280
431	1730	2275
432	1734	2271
433	1738	2266
434	1742	2262
435	1746	2259
436	1749	2254
437	1753	2250
438	1757	2246
439	1761	2242
440	1765	2237
441	1768	2233
442	1772	2228
443	1776	2224
444	1780	2220
445	1784	2216
446	1787	2211
447	1791	2207
448	1795	2202
449	1798	2198
450	1802	2194
451	1806	2189
452	1809	2185
453	1813	2180
454	1817	2177
455	1821	2173
456	1825	2169
457	1829	2164
458	1833	2161
459	1837	2157
460	1841	2152
461	1845	2148
462	1848	2144
463	1852	2140
464	1856	2135
465	1859	2131
466	1863	2126
467	1867	2122
468	1871	2118
469	1875	2114
470	1879	2110
471	1882	2106
472	1886	2101
473	1890	2097
474	1893	2093
475	1897	2089
476	1901	2084
477	1905	2081
478	1909	2077
479	1913	2072
480	1916	2068
481	1920	2063
482	1923	2059
483	1927	2054
484	1930	2050
485	1934	2046
486	1938	2041
487	1941	2037
488	1945	2033
489	1949	2029
490	1952	2024
491	1956	2020
492	1960	2016
493	1964	2011
494	1968	2007
495	1971	2003
496	1975	1999
497	1979	1995
498	1983	1991
499	1987	1987
500	1990	1982
501	1994	1978
502	1998	1974
503	2001	1970
504	2005	1965
505	2009	1961
506	2013	1957
507	2016	1953
508	2020	1948
509	2023	1944
510	2027	1940
511	2031	1936
512	2035	1932
513	2039	1927
514	2042	1923
515	2045	1919
516	2049	1914
517	2053	1910
518	2056	1906
519	2060	1901
520	2064	1897
521	2067	1893
522	2071	1889
523	2075	1885
524	2079	1881
525	2083	1877
526	2086	1873
527	2091	1869
528	2094	1864
529	2098	1860
530	2101	1856
531	2105	1852
532	2108	1847
533	2112	1843
534	2116	1839
535	2119	1835
536	2123	1830
537	2126	1826
538	2130	1822
539	2134	1818
540	2137	1813
541	2141	1809
542	2145	1805
543	2149	1801
544	2153	1797
545	2157	1793
546	2160	1789
547	2164	1785
548	2168	1781
549	2172	1777
550	2175	1773
551	2180	1769
552	2183	1765
553	2187	1761
554	2192	1757
555	2195	1753
556	2199	1749
557	2204	1746
558	2208	1742
559	2212	1738
560	2215	1733
561	2219	1729
562	2223	1725
563	2227	1721
564	2230	1717
565	2234	1713
566	2238	1709
567	2242	1705
568	2246	1701
569	2249	1697
570	2253	1693
571	2257	1689
572	2260	1684
573	2264	1680
574	2268	1676
575	2271	1672
576	2275	1668
577	2280	1664
578	2284	1660
579	2287	1656
580	2290	1652
581	2294	1647
582	2298	1643
583	2301	1639
584	2305	1635
585	2309	1631
586	2313	1627
587	2316	1623
588	2320	1619
589	2323	1614
590	2327	1610
591	2330	1606
592	2334	1602
593	2338	1598
594	2342	1594
595	2345	1590
596	2349	1585
597	2353	1582
598	2357	1578
599	2361	1574
600	2364	1569
601	2368	1565
602	2371	1561
603	2375	1557
604	2379	1553
605	2383	1549
606	2386	1545
607	2390	1541
608	2394	1537
609	2397	1533
610	2401	1529
611	2405	1524
612	2409	1520
613	2412	1516
614	2416	1512
615	2420	1508
616	2423	1504
617	2427	1500
618	2431	1496
619	2435	1492
620	2438	1488
621	2442	1484
622	2445	1479
623	2449	1475
624	2452	1471
625	2456	1467
626	2459	1463
627	2463	1459
628	2467	1455
629	2471	1451
630	2475	1447
631	2478	1443
632	2482	1439
633	2486	1435
634	2490	1431
635	2493	1427
636	2497	1423
637	2501	1419
638	2505	1415
639	2509	1411
640	2512	1407
641	2516	1403
642	2520	1399
643	2524	1395
644	2527	1391
645	2531	1387
646	2535	1383
647	2539	1379
648	2542	1375
649	2545	1370
650	2549	1366
651	2553	1362
652	2556	1358
653	2560	1354
654	2564	1350
655	2568	1346
656	2572	1342
657	2575	1338
658	2579	1335
659	2584	1331
660	2587	1327
661	2591	1323
662	2595	1319
663	2599	1315
664	2603	1311
665	2607	1307
666	2610	1303
667	2614	1299
668	2618	1295
669	2622	1291
670	2626	1287
671	2629	1283
672	2633	1279
673	2637	1275
674	2640	1271
675	2644	1267
676	2648	1263
677	2651	1259
678	2656	1255
679	2660	1251
680	2663	1247
681	2667	1243
682	2671	1240
683	2675	1236
684	2679	1232
685	2683	1228
686	2687	1224
687	2691	1220
688	2695	1216
689	2699	1212
690	2702	1208
691	2706	1204
692	2709	1200
693	2713	1196
694	2717	1192
695	2720	1188
696	2724	1184
697	2727	1180
698	2731	1176
699	2734	1172
700	2738	1168
701	2742	1164
702	2746	1160
703	2750	1156
704	2754	1152
705	2757	1148
706	2761	1144
707	2764	1140
708	2768	1136
709	2771	1132
710	2775	1128
711	2779	1124
712	2783	1120
713	2787	1116
714	2791	1112
715	2795	1108
716	2799	1104
717	2802	1100
718	2806	1097
719	2810	1092
720	2814	1089
721	2817	1085
722	2821	1081
723	2825	1077
724	2829	1073
725	2833	1069
726	2837	1065
727	2840	1061
728	2844	1057
729	2847	1053
730	2851	1049
731	2854	1045
732	2858	1041
733	2861	1037
734	2865	1033
735	2869	1029
736	2873	1025
737	2877	1021
738	2881	1017
739	2885	1013
740	2888	1009
741	2892	1005
742	2896	1001
743	2899	997
744	2903	993
745	2907	989
746	2910	985
747	2914	981
748	2918	978
749	2921	973
750	2925	970
751	2929	966
752	2932	962
753	2936	958
754	2940	954
755	2943	950
756	2947	946
757	2951	942
758	2954	938
759	2958	934
760	2962	930
761	2966	926
762	2969	922
763	2973	918
764	2977	914
765	2981	910
766	2985	906
767	2989	902
768	2992	899
769	2996	894
770	3000	891
771	3003	887
772	3007	883
773	3011	879
774	3014	875
775	3018	871
776	3022	867
777	3025	863
778	3029	859
779	3033	855
780	3036	851
781	3040	847
782	3044	843
783	3047	839
784	3051	835
785	3054	831
786	3058	827
787	3062	823
788	3066	819
789	3069	815
790	3073	811
791	3076	807
792	3080	804
793	3084	800
794	3088	796
795	3092	792
796	3095	788
797	3099	784
798	3103	780
799	3106	776
800	3110	772
801	3114	768
802	3117	764
803	3121	760
804	3125	757
805	3128	753
806	3132	749
807	3136	745
808	3139	741
809	3143	737
810	3147	733
811	3151	729
812	3155	725
